Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
001080076,M18,00032064,Medical Incident,04/17/2000,04/17/2000,04/17/2000 08:43:17 AM,04/17/2000 08:44:09 AM,04/17/2000 08:46:10 AM,04/17/2000 08:47:17 AM,04/17/2000 08:50:14 AM,04/17/2000 09:10:32 AM,04/17/2000 09:37:03 AM,Other,04/17/2000 08:53:21 AM,19TH AV/NORIEGA ST,SF,94122,B08,40,7422,3,3,3,true,,1,MEDIC,1,8,7,Inner Sunset,"(37.7542421890572, -122.476423520851)",001080076-M18
001080077,E10,00032065,Alarms,04/17/2000,04/17/2000,04/17/2000 08:44:08 AM,04/17/2000 08:44:48 AM,04/17/2000 08:46:35 AM,04/17/2000 08:51:03 AM,,,,Other,04/17/2000 08:52:51 AM,600 Block of ARGUELLO BLVD,SF,94118,B07,31,7112,3,3,3,false,,1,ENGINE,1,7,1,Inner Richmond,"(37.7776278295567, -122.458678338487)",001080077-E10
001080082,E43,00032069,Structure Fire,04/17/2000,04/17/2000,04/17/2000 09:19:54 AM,04/17/2000 09:24:08 AM,04/17/2000 09:25:01 AM,04/17/2000 09:26:54 AM,04/17/2000 09:29:06 AM,,,Other,04/17/2000 09:29:42 AM,GENEVA AV/SANTOS ST,SF,94134,B09,43,6246,3,3,3,false,,1,ENGINE,1,None,10,None,"(37.7083112668674, -122.420083068533)",001080082-E43
001080083,M36,00032070,Medical Incident,04/17/2000,04/17/2000,04/17/2000 09:30:44 AM,04/17/2000 09:31:42 AM,04/17/2000 09:32:33 AM,04/17/2000 09:33:33 AM,04/17/2000 09:37:10 AM,04/17/2000 09:50:03 AM,04/17/2000 10:02:52 AM,Other,04/17/2000 10:55:55 AM,6TH ST/MINNA ST,SF,94103,B03,01,2251,3,3,3,true,,1,MEDIC,1,3,6,South of Market,"(37.7805353840251, -122.40816079453)",001080083-M36
001080084,M35,00032071,Medical Incident,04/17/2000,04/17/2000,04/17/2000 09:38:26 AM,04/17/2000 09:39:17 AM,04/17/2000 09:39:37 AM,04/17/2000 09:41:40 AM,04/17/2000 09:44:04 AM,04/17/2000 10:02:35 AM,04/17/2000 10:13:46 AM,Other,04/17/2000 10:28:14 AM,100 Block of 1ST ST,SF,94105,B03,13,2143,3,3,3,true,,1,MEDIC,2,3,6,Financial District/South Beach,"(37.7896024888889, -122.397471189755)",001080084-M35
001080086,E19,00032073,Medical Incident,04/17/2000,04/17/2000,04/17/2000 09:40:48 AM,04/17/2000 09:42:21 AM,04/17/2000 09:43:26 AM,04/17/2000 09:46:09 AM,04/17/2000 09:49:15 AM,,,Other,04/17/2000 10:04:25 AM,800 Block of GONZALEZ DR,SF,94132,B08,19,8482,3,3,3,false,,1,ENGINE,1,8,7,Lakeshore,"(37.7175134679807, -122.480594574461)",001080086-E19
001080087,B02,00032074,Alarms,04/17/2000,04/17/2000,04/17/2000 09:49:06 AM,04/17/2000 09:50:16 AM,04/17/2000 09:50:41 AM,04/17/2000 09:51:08 AM,04/17/2000 09:53:14 AM,,,Other,04/17/2000 10:09:09 AM,2200 Block of MARKET ST,SF,94114,B05,06,5231,3,3,3,false,,1,CHIEF,1,5,8,Castro/Upper Market,"(37.7649516607095, -122.431937558766)",001080087-B02
001080087,E06,00032074,Alarms,04/17/2000,04/17/2000,04/17/2000 09:49:06 AM,04/17/2000 09:50:16 AM,04/17/2000 09:50:41 AM,04/17/2000 09:52:29 AM,04/17/2000 09:56:05 AM,,,Other,04/17/2000 10:12:24 AM,2200 Block of MARKET ST,SF,94114,B05,06,5231,3,3,3,false,,1,ENGINE,3,5,8,Castro/Upper Market,"(37.7649516607095, -122.431937558766)",001080087-E06
001080089,E21,00032076,Alarms,04/17/2000,04/17/2000,04/17/2000 09:54:47 AM,04/17/2000 09:55:28 AM,04/17/2000 09:55:58 AM,04/17/2000 09:57:32 AM,,,,Other,04/17/2000 09:57:45 AM,1300 Block of MARKET ST,SF,94103,B02,36,3111,3,3,3,false,,1,ENGINE,4,2,6,South of Market,"(37.7769455318934, -122.416807079177)",001080089-E21
001080090,K922,00032077,Medical Incident,04/17/2000,04/17/2000,04/17/2000 09:56:14 AM,04/17/2000 09:56:17 AM,04/17/2000 09:59:00 AM,04/17/2000 09:59:26 AM,04/17/2000 10:10:58 AM,,,No Merit,04/17/2000 10:30:02 AM,8TH ST/HOWARD ST,SF,94103,B03,01,2214,1,1,2,false,,1,PRIVATE,1,2,6,South of Market,"(37.7762213544451, -122.411606113878)",001080090-K922
001080091,E43,00032078,Medical Incident,04/17/2000,04/17/2000,04/17/2000 09:58:09 AM,04/17/2000 09:59:25 AM,04/17/2000 09:59:42 AM,04/17/2000 10:01:04 AM,04/17/2000 10:03:16 AM,,,Other,04/17/2000 10:27:31 AM,5100 Block of MISSION ST,SF,94112,B09,43,6175,3,3,3,false,,1,ENGINE,1,9,11,Excelsior,"(37.7160781812918, -122.441227673446)",001080091-E43
001080092,M07,00032079,Medical Incident,04/17/2000,04/17/2000,04/17/2000 09:59:23 AM,04/17/2000 10:01:15 AM,04/17/2000 10:01:35 AM,04/17/2000 10:08:28 AM,04/17/2000 10:19:56 AM,04/17/2000 10:24:48 AM,04/17/2000 10:32:12 AM,Other,04/17/2000 10:57:12 AM,2000 Block of MISSION ST,SF,94110,B02,07,5236,3,3,3,true,,1,MEDIC,1,2,9,Mission,"(37.7642361189447, -122.419659842408)",001080092-M07
001080092,RS2,00032079,Medical Incident,04/17/2000,04/17/2000,04/17/2000 09:59:23 AM,04/17/2000 10:01:15 AM,04/17/2000 10:01:35 AM,,,,,Other,04/17/2000 10:18:35 AM,2000 Block of MISSION ST,SF,94110,B02,07,5236,3,3,3,false,,1,RESCUE SQUAD,3,2,9,Mission,"(37.7642361189447, -122.419659842408)",001080092-RS2
001080093,M08,00032080,Medical Incident,04/17/2000,04/17/2000,04/17/2000 09:59:41 AM,04/17/2000 10:01:58 AM,04/17/2000 10:02:52 AM,04/17/2000 10:09:19 AM,04/17/2000 10:13:31 AM,04/17/2000 10:33:00 AM,04/17/2000 10:42:36 AM,Other,04/17/2000 11:08:05 AM,1100 Block of HOWARD ST,SF,94103,B03,27,2314,3,3,3,true,,1,MEDIC,2,2,6,South of Market,"(37.7768521020734, -122.410711239368)",001080093-M08
001080094,T01,00032081,Medical Incident,04/17/2000,04/17/2000,04/17/2000 10:03:11 AM,04/17/2000 10:04:17 AM,04/17/2000 10:04:42 AM,04/17/2000 10:06:36 AM,04/17/2000 10:07:32 AM,,,Other,04/17/2000 10:16:04 AM,100 Block of 2ND ST,SF,94105,B03,01,2146,3,3,3,true,,1,TRUCK,1,3,6,Financial District/South Beach,"(37.787352867216, -122.399071684966)",001080094-T01
001080095,E29,00032082,Structure Fire,04/17/2000,04/17/2000,04/17/2000 10:09:54 AM,04/17/2000 10:14:39 AM,04/17/2000 10:17:51 AM,04/17/2000 10:18:27 AM,,,,Other,04/17/2000 10:21:19 AM,14TH ST/MISSION ST,SF,94103,B02,36,5215,3,3,3,true,,1,ENGINE,1,2,9,Mission,"(37.7682736543413, -122.419981513232)",001080095-E29
001080097,RA32,00032083,Medical Incident,04/17/2000,04/17/2000,04/17/2000 10:16:57 AM,04/17/2000 10:19:14 AM,04/17/2000 10:22:23 AM,04/17/2000 10:23:41 AM,,,,Other,04/17/2000 11:16:10 AM,2300 Block of FOLSOM ST,SF,94110,B06,07,5447,1,1,2,false,,1,AIRPORT,1,6,9,Mission,"(37.7596933117757, -122.414834950578)",001080097-RA32
001080098,M01,00032084,Medical Incident,04/17/2000,04/17/2000,04/17/2000 10:24:35 AM,04/17/2000 10:25:00 AM,04/17/2000 10:25:12 AM,04/17/2000 10:28:01 AM,04/17/2000 10:30:28 AM,04/17/2000 10:52:23 AM,04/17/2000 11:07:39 AM,Other,04/17/2000 11:07:41 AM,200 Block of MARKET ST,SF,94111,B03,13,2809,3,3,3,true,,1,MEDIC,2,1,3,Financial District/South Beach,"(37.7928236509312, -122.397034190089)",001080098-M01
001080099,E23,00032085,Citizen Assist / Service Call,04/17/2000,04/17/2000,04/17/2000 10:24:20 AM,04/17/2000 10:25:46 AM,04/17/2000 10:25:56 AM,04/17/2000 10:29:02 AM,04/17/2000 10:30:08 AM,,,Other,04/17/2000 10:50:12 AM,1800 Block of 47TH AVE,SF,94122,B08,23,7715,3,3,3,false,,1,ENGINE,1,8,4,Sunset/Parkside,"(37.751981346843, -122.506481007135)",001080099-E23
001080100,A922,00032087,Medical Incident,04/17/2000,04/17/2000,04/17/2000 10:24:43 AM,04/17/2000 10:25:46 AM,04/17/2000 10:33:53 AM,04/17/2000 10:34:07 AM,04/17/2000 10:36:23 AM,,,Other,04/17/2000 10:46:27 AM,200 Block of 3RD ST,SF,94105,B03,01,2177,1,1,2,false,,1,PRIVATE,1,3,6,Financial District/South Beach,"(37.7846604121968, -122.39991472916)",001080100-A922
001080101,M18,00032086,Medical Incident,04/17/2000,04/17/2000,04/17/2000 10:30:03 AM,04/17/2000 10:31:33 AM,04/17/2000 10:32:47 AM,04/17/2000 10:33:50 AM,04/17/2000 10:37:27 AM,,,Other,04/17/2000 11:08:43 AM,2400 Block of PACHECO ST,SF,94116,B08,18,7516,1,1,2,true,,1,MEDIC,1,8,4,Sunset/Parkside,"(37.7500061825604, -122.486386260703)",001080101-M18
001080102,RS2,00032088,Medical Incident,04/17/2000,04/17/2000,04/17/2000 10:37:36 AM,04/17/2000 10:39:26 AM,04/17/2000 10:40:26 AM,04/17/2000 10:43:25 AM,04/17/2000 10:43:57 AM,,,Other,04/17/2000 10:47:08 AM,300 Block of VALENCIA ST,SF,94103,B02,36,5126,3,3,3,false,,1,RESCUE SQUAD,1,2,9,Mission,"(37.76701047078, -122.422020137013)",001080102-RS2
001080103,A641,00032089,Medical Incident,04/17/2000,04/17/2000,04/17/2000 10:39:44 AM,04/17/2000 10:41:11 AM,04/17/2000 10:42:46 AM,04/17/2000 10:43:01 AM,,04/17/2000 10:55:20 AM,04/17/2000 11:02:53 AM,Other,04/17/2000 11:27:00 AM,1100 Block of GOUGH ST,SF,94109,B04,03,3261,1,1,2,false,,1,PRIVATE,1,4,5,Western Addition,"(37.784358514886, -122.424559253604)",001080103-A641
001080106,M36,00032092,Medical Incident,04/17/2000,04/17/2000,04/17/2000 10:55:57 AM,04/17/2000 10:58:21 AM,04/17/2000 10:59:17 AM,04/17/2000 11:01:02 AM,04/17/2000 11:09:18 AM,04/17/2000 11:43:44 AM,04/17/2000 11:43:49 AM,Other,04/17/2000 12:03:26 PM,1500 Block of QUESADA AVE,SF,94124,B10,17,6535,3,3,3,true,,1,MEDIC,1,10,10,Bayview Hunters Point,"(37.7317161358979, -122.388705102774)",001080106-M36
001080107,B05,00032093,Alarms,04/17/2000,04/17/2000,04/17/2000 11:03:08 AM,04/17/2000 11:03:28 AM,04/17/2000 11:03:45 AM,04/17/2000 11:04:52 AM,,,,Other,04/17/2000 11:12:45 AM,1300 Block of 7TH AVE,SF,94122,B08,22,7332,3,3,3,false,,1,CHIEF,3,8,5,Inner Sunset,"(37.7632029010129, -122.464037930237)",001080107-B05
001080107,E12,00032093,Alarms,04/17/2000,04/17/2000,04/17/2000 11:03:08 AM,04/17/2000 11:03:28 AM,04/17/2000 11:03:45 AM,04/17/2000 11:07:44 AM,04/17/2000 11:08:46 AM,,,Other,04/17/2000 11:12:38 AM,1300 Block of 7TH AVE,SF,94122,B08,22,7332,3,3,3,false,,1,ENGINE,1,8,5,Inner Sunset,"(37.7632029010129, -122.464037930237)",001080107-E12
001080109,A837,00032095,Medical Incident,04/17/2000,04/17/2000,04/17/2000 11:07:07 AM,04/17/2000 11:08:15 AM,04/17/2000 11:09:39 AM,,,,,Against Medical Advice,04/17/2000 11:32:17 AM,1200 Block of MISSION ST,SF,94103,B02,27,2318,3,3,3,false,,1,PRIVATE,3,2,6,South of Market,"(37.7770436202636, -122.413583483648)",001080109-A837
001080112,A933,00032098,Medical Incident,04/17/2000,04/17/2000,04/17/2000 11:10:29 AM,04/17/2000 11:10:49 AM,04/17/2000 11:15:01 AM,04/17/2000 11:15:31 AM,04/17/2000 11:30:12 AM,,,Against Medical Advice,04/17/2000 11:32:29 AM,24TH ST/HARRISON ST,SF,94110,B06,07,5533,1,1,2,false,,1,PRIVATE,1,6,9,Mission,"(37.7526285917569, -122.41189982284)",001080112-A933
001080114,E02,00032099,Structure Fire,04/17/2000,04/17/2000,04/17/2000 11:19:54 AM,04/17/2000 11:22:54 AM,04/17/2000 11:23:09 AM,04/17/2000 11:24:28 AM,04/17/2000 11:26:46 AM,,,Other,04/17/2000 11:27:18 AM,BAY ST/HYDE ST,SF,94109,B01,28,1614,3,3,3,false,,1,ENGINE,1,1,2,Russian Hill,"(37.8047903067381, -122.420178127211)",001080114-E02
001080115,E19,00032100,Medical Incident,04/17/2000,04/17/2000,04/17/2000 11:33:55 AM,04/17/2000 11:35:08 AM,04/17/2000 11:35:32 AM,04/17/2000 11:37:05 AM,04/17/2000 11:38:05 AM,,,Other,04/17/2000 11:46:30 AM,300 Block of EUCALYPTUS DR,SF,94132,B08,19,8731,3,3,3,false,,1,ENGINE,1,8,7,Lakeshore,"(37.7310536423783, -122.476383904851)",001080115-E19
001080116,T18,00032101,Medical Incident,04/17/2000,04/17/2000,04/17/2000 11:35:54 AM,04/17/2000 11:37:26 AM,04/17/2000 11:37:53 AM,,,,,Other,04/17/2000 11:40:33 AM,28TH AV/NORIEGA ST,SF,94122,B08,18,7515,3,3,3,true,,1,TRUCK,3,8,4,Sunset/Parkside,"(37.7538154728885, -122.48611805633)",001080116-T18
001080117,E12,00032102,Medical Incident,04/17/2000,04/17/2000,04/17/2000 11:37:46 AM,04/17/2000 11:38:13 AM,04/17/2000 11:38:37 AM,04/17/2000 11:39:26 AM,04/17/2000 11:39:34 AM,,,Other,04/17/2000 11:44:55 AM,600 Block of COLE ST,SF,94117,B05,12,4532,3,3,3,false,,1,ENGINE,1,5,5,Haight Ashbury,"(37.7690506956401, -122.450684307303)",001080117-E12
001080118,T18,00032103,Other,04/17/2000,04/17/2000,04/17/2000 11:39:36 AM,04/17/2000 11:40:40 AM,04/17/2000 11:40:51 AM,04/17/2000 11:41:04 AM,04/17/2000 11:43:22 AM,,,Other,04/17/2000 12:08:13 PM,1600 Block of 34TH AVE,SF,94122,B08,18,7542,3,3,3,true,,1,TRUCK,1,8,4,Sunset/Parkside,"(37.7563254807326, -122.492809754043)",001080118-T18
001080119,E39,00032104,Medical Incident,04/17/2000,04/17/2000,04/17/2000 11:43:19 AM,04/17/2000 11:43:47 AM,04/17/2000 11:44:11 AM,04/17/2000 11:45:59 AM,04/17/2000 11:47:42 AM,,,Other,04/17/2000 11:58:05 AM,0 Block of AGUA WAY,SF,94127,B09,39,8651,E,E,3,false,,1,ENGINE,1,9,7,West of Twin Peaks,"(37.742207178028, -122.451868140233)",001080119-E39
001080120,E02,00032105,Medical Incident,04/17/2000,04/17/2000,04/17/2000 11:49:23 AM,04/17/2000 11:52:17 AM,04/17/2000 11:52:58 AM,04/17/2000 11:54:21 AM,04/17/2000 11:57:49 AM,,,Other,04/17/2000 12:14:42 PM,1000 Block of GRANT AVE,SF,94133,B01,02,1312,3,3,3,false,,1,ENGINE,2,1,3,Chinatown,"(37.7964719317706, -122.406671651182)",001080120-E02
001080120,M41,00032105,Medical Incident,04/17/2000,04/17/2000,04/17/2000 11:49:23 AM,04/17/2000 11:52:17 AM,04/17/2000 11:52:58 AM,04/17/2000 12:53:15 PM,,,,Cancelled,04/17/2000 12:57:37 PM,1000 Block of GRANT AVE,SF,94133,B01,02,1312,3,3,3,true,,1,MEDIC,4,1,3,Chinatown,"(37.7964719317706, -122.406671651182)",001080120-M41
001080122,K922,00032107,Medical Incident,04/17/2000,04/17/2000,04/17/2000 11:54:45 AM,04/17/2000 11:55:54 AM,04/17/2000 11:56:57 AM,04/17/2000 11:59:14 AM,,,,Other,04/17/2000 12:01:08 PM,100 Block of LAKESHORE DR,SF,94132,B08,19,8831,3,3,3,false,,1,PRIVATE,3,8,7,Sunset/Parkside,"(37.7293493363136, -122.495488248229)",001080122-K922
001080124,E38,00032109,Medical Incident,04/17/2000,04/17/2000,04/17/2000 11:57:31 AM,04/17/2000 11:59:14 AM,04/17/2000 12:00:37 PM,04/17/2000 12:02:04 PM,04/17/2000 12:03:37 PM,,,Other,04/17/2000 12:04:02 PM,2700 Block of CLAY ST,SF,94115,B04,38,4124,3,3,3,false,,1,ENGINE,1,4,2,Pacific Heights,"(37.7902411218995, -122.438326636969)",001080124-E38
001080125,E36,00032110,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:04:43 PM,04/17/2000 12:06:18 PM,04/17/2000 12:06:41 PM,04/17/2000 12:08:17 PM,04/17/2000 12:09:32 PM,,,Other,04/17/2000 12:14:44 PM,1600 Block of FOLSOM ST,SF,94103,B02,27,5121,E,E,3,false,,1,ENGINE,1,2,6,Mission,"(37.7702452767352, -122.415276342816)",001080125-E36
001080126,T15,00032111,Citizen Assist / Service Call,04/17/2000,04/17/2000,04/17/2000 12:07:11 PM,04/17/2000 12:09:30 PM,04/17/2000 12:10:31 PM,04/17/2000 12:14:51 PM,04/17/2000 12:16:13 PM,,,Other,04/17/2000 12:32:51 PM,200 Block of VIENNA ST,SF,94112,B09,43,6142,3,3,3,false,,1,TRUCK,1,9,11,Excelsior,"(37.7243430998879, -122.427433355933)",001080126-T15
001080127,M01,00032112,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:11:27 PM,04/17/2000 12:12:00 PM,04/17/2000 12:12:34 PM,04/17/2000 12:13:05 PM,04/17/2000 12:17:05 PM,04/17/2000 12:40:50 PM,04/17/2000 12:51:26 PM,Other,04/17/2000 01:14:22 PM,100 Block of CALIFORNIA ST,SF,94111,B01,13,1162,3,3,3,true,,1,MEDIC,2,1,3,Financial District/South Beach,"(37.7933796204253, -122.398184018556)",001080127-M01
001080129,A933,00032114,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:14:07 PM,04/17/2000 12:15:17 PM,04/17/2000 12:15:31 PM,04/17/2000 12:23:36 PM,04/17/2000 12:32:09 PM,,,Against Medical Advice,04/17/2000 12:39:31 PM,200 Block of 3RD ST,SF,94105,B03,01,2177,3,3,3,false,,1,PRIVATE,2,3,6,Financial District/South Beach,"(37.7846604121968, -122.39991472916)",001080129-A933
001080129,RC1,00032114,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:14:07 PM,04/17/2000 12:15:17 PM,04/17/2000 12:15:31 PM,,,,,Other,04/17/2000 12:38:30 PM,200 Block of 3RD ST,SF,94105,B03,01,2177,3,3,3,true,,1,RESCUE CAPTAIN,3,3,6,Financial District/South Beach,"(37.7846604121968, -122.39991472916)",001080129-RC1
001080130,RA38,00032120,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:16:44 PM,04/17/2000 12:18:13 PM,04/17/2000 12:28:39 PM,04/17/2000 12:29:40 PM,04/17/2000 12:36:22 PM,,,Other,04/17/2000 01:02:53 PM,300 Block of EDDY ST,SF,94102,B02,03,1545,1,1,2,true,,1,AIRPORT,1,2,6,Tenderloin,"(37.7838385180026, -122.41377551206)",001080130-RA38
001080131,M36,00032115,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:17:18 PM,04/17/2000 12:19:03 PM,04/17/2000 12:20:43 PM,,,,,Other,04/17/2000 12:21:20 PM,200 Block of WILLIAMS AVE,SF,94124,B10,42,6474,1,1,2,true,,1,MEDIC,2,10,10,Bayview Hunters Point,"(37.7299346936044, -122.397744427103)",001080131-M36
001080133,A641,00032119,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:20:22 PM,04/17/2000 12:20:34 PM,04/17/2000 12:27:39 PM,04/17/2000 12:27:57 PM,04/17/2000 12:46:54 PM,,,No Merit,04/17/2000 12:48:55 PM,0 Block of 6TH ST,SF,94103,B03,01,2251,1,1,2,false,,1,PRIVATE,1,3,6,South of Market,"(37.7811458612596, -122.409026046516)",001080133-A641
001080134,M36,00032116,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:21:18 PM,04/17/2000 12:21:28 PM,04/17/2000 12:21:51 PM,04/17/2000 12:22:26 PM,04/17/2000 12:27:51 PM,04/17/2000 12:45:43 PM,,Other,04/17/2000 01:44:08 PM,1800 Block of CESAR CHAVEZ ST,SF,94107,B10,09,2634,3,3,3,true,,1,MEDIC,1,10,10,Bayview Hunters Point,"(37.7498294649384, -122.395795937922)",001080134-M36
001080136,E42,00032121,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:28:21 PM,04/17/2000 12:28:51 PM,04/17/2000 12:29:30 PM,04/17/2000 12:30:36 PM,04/17/2000 12:32:20 PM,,,Other,04/17/2000 02:08:13 PM,CARROLL AV/QUINT ST,SF,94124,B10,42,6361,3,3,3,false,,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.7302664290827, -122.40269821987)",001080136-E42
001080137,M35,00032123,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:34:18 PM,04/17/2000 12:37:10 PM,04/17/2000 12:42:59 PM,04/17/2000 12:46:27 PM,04/17/2000 12:49:33 PM,,,Other,04/17/2000 01:04:24 PM,500 Block of 5TH ST,SF,94107,B03,08,2242,2,2,2,true,,1,MEDIC,1,3,6,South of Market,"(37.7776242389287, -122.39998111124)",001080137-M35
001080138,E36,00032122,Structure Fire,04/17/2000,04/17/2000,04/17/2000 12:39:54 PM,04/17/2000 12:41:05 PM,04/17/2000 12:41:13 PM,,04/17/2000 12:44:04 PM,,,Other,04/17/2000 12:44:31 PM,14TH ST/GUERRERO ST,SF,94103,B02,06,5214,3,3,3,false,,1,ENGINE,1,2,8,Mission,"(37.7680064250045, -122.424411692164)",001080138-E36
001080139,M10,00032124,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:42:27 PM,04/17/2000 12:43:47 PM,04/17/2000 12:45:20 PM,04/17/2000 12:46:15 PM,04/17/2000 12:49:53 PM,,,Other,04/17/2000 01:04:04 PM,ARGUELLO BL/GEARY BL,SF,94118,B07,31,7113,2,2,2,true,,1,MEDIC,1,7,1,Lone Mountain/USF,"(37.7812570600281, -122.458858659839)",001080139-M10
001080140,M03,00032125,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:42:23 PM,04/17/2000 12:44:04 PM,04/17/2000 12:49:16 PM,04/17/2000 12:50:05 PM,04/17/2000 01:00:11 PM,04/17/2000 01:04:41 PM,,Other,04/17/2000 01:56:58 PM,2300 Block of 16TH ST,SF,94103,B02,29,5241,2,2,2,true,,1,MEDIC,1,2,10,Mission,"(37.765718993574, -122.409520691153)",001080140-M03
001080141,E37,00032126,Structure Fire,04/17/2000,04/17/2000,04/17/2000 12:49:54 PM,04/17/2000 12:53:12 PM,04/17/2000 12:53:19 PM,,,,,Other,04/17/2000 12:56:45 PM,20TH ST/CONNECTICUT ST,SF,94107,B10,37,2523,3,3,3,false,,1,ENGINE,1,10,10,Potrero Hill,"(37.7599674076909, -122.39724892486)",001080141-E37
001080142,M07,00032127,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:53:06 PM,04/17/2000 12:54:37 PM,04/17/2000 12:55:06 PM,04/17/2000 12:59:30 PM,04/17/2000 01:01:00 PM,04/17/2000 01:28:44 PM,04/17/2000 01:46:21 PM,Other,04/17/2000 02:11:27 PM,900 Block of MARKET ST,SF,94103,B03,01,2247,3,3,3,true,,1,MEDIC,1,3,6,South of Market,"(37.7835699386918, -122.408421116922)",001080142-M07
001080143,K922,00032128,Medical Incident,04/17/2000,04/17/2000,04/17/2000 12:57:03 PM,04/17/2000 01:00:10 PM,04/17/2000 01:03:56 PM,04/17/2000 01:04:06 PM,,04/17/2000 01:47:13 PM,,Other,04/17/2000 02:40:07 PM,3600 Block of GEARY BLVD,SF,94118,B07,31,7113,1,1,2,false,,1,PRIVATE,1,7,2,Presidio Heights,"(37.7814136006365, -122.458304307247)",001080143-K922
001080144,M01,00032136,Medical Incident,04/17/2000,04/17/2000,04/17/2000 01:03:10 PM,04/17/2000 01:04:46 PM,04/17/2000 01:14:59 PM,04/17/2000 01:15:20 PM,04/17/2000 01:21:23 PM,04/17/2000 01:37:32 PM,04/17/2000 01:57:52 PM,Other,04/17/2000 02:29:15 PM,MARKET ST/POWELL ST,SF,94103,B03,01,1364,2,2,2,true,,1,MEDIC,1,3,3,Financial District/South Beach,"(37.7845601421794, -122.407337041666)",001080144-M01
001080145,M12,00032129,Medical Incident,04/17/2000,04/17/2000,04/17/2000 01:03:30 PM,04/17/2000 01:07:22 PM,04/17/2000 01:07:52 PM,04/17/2000 01:08:37 PM,,,,Other,04/17/2000 01:47:16 PM,300 Block of AMBER DR,SF,94131,B06,26,8164,3,3,3,false,,1,MEDIC,2,6,8,Glen Park,"(37.7445636381979, -122.441704934967)",001080145-M12
001080146,E38,00032131,Alarms,04/17/2000,04/17/2000,04/17/2000 01:08:19 PM,04/17/2000 01:09:21 PM,04/17/2000 01:10:27 PM,04/17/2000 01:11:16 PM,04/17/2000 01:12:45 PM,,,Other,04/17/2000 01:55:40 PM,2000 Block of WASHINGTON ST,SF,94109,B04,38,3331,3,3,3,false,,1,ENGINE,1,4,2,Pacific Heights,"(37.7925836661412, -122.426991553046)",001080146-E38
001080147,E16,00032130,Medical Incident,04/17/2000,04/17/2000,04/17/2000 01:08:13 PM,04/17/2000 01:09:25 PM,04/17/2000 01:09:45 PM,,04/17/2000 01:12:31 PM,,,Other,04/17/2000 01:23:05 PM,2100 Block of GREENWICH ST,SF,94123,B04,16,3553,3,3,3,false,,1,ENGINE,1,4,2,Marina,"(37.7991105071928, -122.435056310717)",001080147-E16
001080148,E17,00032132,Structure Fire,04/17/2000,04/17/2000,04/17/2000 12:59:54 PM,04/17/2000 01:09:30 PM,04/17/2000 01:11:19 PM,04/17/2000 01:12:25 PM,04/17/2000 01:14:50 PM,,,Other,04/17/2000 01:15:33 PM,ARDATH CT/HUDSON AV,SF,94124,B10,17,6624,3,3,3,false,,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.7346032067084, -122.382962001592)",001080148-E17
001080152,E10,00032135,Alarms,04/17/2000,04/17/2000,04/17/2000 01:13:04 PM,04/17/2000 01:13:25 PM,04/17/2000 01:13:39 PM,04/17/2000 01:15:03 PM,04/17/2000 01:18:14 PM,,,Other,04/17/2000 01:27:35 PM,2700 Block of GREEN ST,SF,94123,B04,16,4225,3,3,3,false,,1,ENGINE,1,4,2,Marina,"(37.7950571744208, -122.444409448853)",001080152-E10
001080152,T10,00032135,Alarms,04/17/2000,04/17/2000,04/17/2000 01:13:04 PM,04/17/2000 01:13:25 PM,04/17/2000 01:13:39 PM,04/17/2000 01:14:57 PM,04/17/2000 01:18:53 PM,,,Other,04/17/2000 01:27:01 PM,2700 Block of GREEN ST,SF,94123,B04,16,4225,3,3,3,false,,1,TRUCK,2,4,2,Marina,"(37.7950571744208, -122.444409448853)",001080152-T10
